Round,Test_Accuracy,Test_Loss,Train_Loss
0,0.311408,1.116882,0.000000
1,0.317763,1.068148,1.176383
2,0.321894,1.019687,1.078309
3,0.338735,0.972942,1.041709
4,0.459803,0.934949,1.015272
5,0.621544,0.905858,0.996277
6,0.732126,0.878988,0.980147
7,0.786781,0.860992,0.964000
8,0.823324,0.839466,0.955533
9,0.872895,0.816757,0.941106
10,0.907849,0.789648,0.923478
11,0.916428,0.778125,0.915718
12,0.931363,0.761201,0.904054
13,0.932634,0.744737,0.897076
14,0.938354,0.735781,0.893873
15,0.941532,0.727050,0.888139
